driverId,week,hours-logged,miles-logged
358,15,52,1400
94,47,75,400
478,12,67,2300
118,4,68,1200
84,16,74,2900
206,43,56,0
855,20,64,900
131,41,62,3800
62,17,73,3100
799,32,61,4000
171,34,76,1600
87,5,80,3200
920,11,58,3700
835,14,59,3800
642,13,54,2500
798,20,55,2200
916,22,69,300
926,8,50,3400
515,18,70,1800
749,37,69,500
1008,50,51,2800
652,13,58,700
649,19,59,1100
731,37,61,1200
715,33,66,2000
605,9,64,1500
141,1,77,1100
87,30,59,2900
532,49,56,2500
579,38,77,2100
94,21,69,2200
465,17,67,0
64,13,66,1400
694,48,63,2600
612,26,67,1700
132,46,71,1100
378,33,66,400
950,25,74,700
200,19,62,1500
800,34,65,3600
992,47,55,500
916,18,58,3800
540,46,73,3000
107,52,54,3200
940,12,77,1800
777,26,74,3700
75,52,69,1800
436,36,55,2300
674,47,57,3200
684,20,61,1400
899,12,71,1400
108,8,72,2200
195,31,66,2200
398,11,69,3500
825,20,73,3300
43,26,59,3600
33,36,50,1400
781,18,64,300
15,36,58,2600
661,15,50,2800
631,21,67,3000
532,51,76,3800
16,1,60,1500
892,8,71,200
976,10,51,200
449,5,61,500
895,9,68,100
473,40,77,3000
310,2,73,1700
258,11,65,700
772,38,54,3100
48,47,66,1800
549,13,75,2300
373,7,62,1500
511,29,51,1200
1005,47,76,1100
945,43,66,3900
938,33,65,3200
779,19,69,3800
202,6,52,100
979,3,61,1000
760,12,78,3700
602,11,69,300
90,20,57,2300
770,8,63,3200
215,51,77,400
878,16,71,4000
161,12,75,3100
197,17,77,700
705,37,63,900
323,50,61,900
457,4,54,1600
225,11,54,900
49,6,50,1200
672,36,72,2500
293,47,78,500
861,46,58,1100
811,49,58,2400
709,35,53,200
369,1,79,3300
696,46,77,600
280,29,62,3300
15,20,51,2300
132,50,54,1700
374,40,68,500
534,39,70,1900
418,40,72,2500
196,49,58,3700
95,39,54,2800
374,29,64,3800
919,5,67,1200
471,34,69,3600
579,33,60,1600
847,12,66,2600
320,48,58,1600
35,5,77,3200
1004,52,59,1300
770,33,62,1600
790,40,78,2100
507,25,53,3400
135,17,78,500
884,41,65,0
351,6,58,1500
489,41,50,1900
776,41,72,2500
869,8,54,1200
15,40,51,800
203,45,56,1900
141,48,55,300
508,17,71,2700
821,31,56,1500
844,21,74,100
400,40,50,3900
622,3,79,300
536,30,79,1800
491,52,61,200
434,3,80,2300
416,1,76,3500
165,30,61,700
612,19,61,0
819,30,64,3400
422,52,63,800
933,19,57,1600
350,5,58,2800
344,48,69,3000
252,48,54,2400
507,22,53,3800
697,19,77,1900
211,52,66,1900
457,29,59,2100
939,14,50,2700
104,30,60,4000
445,38,78,3000
179,16,69,2500
588,10,66,3700
890,42,71,3000
569,43,57,1500
13,26,73,2500
351,47,76,2900
870,33,61,1300
644,43,78,200
832,40,78,2300
594,36,64,2000
555,39,67,3900
411,2,69,3100
643,48,69,200
309,17,56,1400
13,37,70,2100
132,1,56,2100
508,26,67,100
882,18,79,1500
595,47,57,2800
149,36,63,3100
726,17,73,1400
821,19,75,3600
694,5,61,3900
1009,46,71,4000
413,16,51,3000
576,26,69,3600
935,39,80,1400
386,31,53,200
837,29,51,600
833,24,76,400
340,21,56,2100
801,23,59,3400
842,3,75,3900
547,4,67,2900
43,47,62,500
121,34,64,3700
215,6,55,3100
508,24,66,1700
718,45,75,1100
355,15,51,1100
258,10,80,300
652,49,74,3700
681,26,56,300
61,20,75,1600
243,33,78,3700
820,45,67,3800
853,21,56,1400
134,2,71,1000
125,47,80,2400
149,35,62,3500
110,6,77,1900
447,48,54,100
971,46,51,900
708,18,75,2200
1008,1,60,2600
297,28,64,100
396,29,60,1400
366,8,66,1100
121,19,58,500
120,16,65,1900
991,17,74,0
35,42,58,2800
